owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
pingcap,tidb,39868,2015-09-06T04:01:52Z,2026-03-05T20:45:32Z,Go,34623,213,22424,17967
evanw,esbuild,39821,2016-06-14T16:08:50Z,2026-03-05T20:44:58Z,Go,257,309,3858,3313
HeyPuter,puter,39814,2024-03-03T01:44:32Z,2026-03-05T22:29:04Z,JavaScript,1319,8,1014,848
trpc,trpc,39673,2020-07-18T01:17:11Z,2026-03-05T22:40:51Z,TypeScript,3851,230,1339,1191
go-gorm,gorm,39650,2013-10-25T08:31:38Z,2026-03-05T18:21:43Z,Go,775,11,6095,5609
freefq,free,39641,2020-06-07T02:48:33Z,2026-03-05T23:41:33Z,,0,0,809,257
videojs,video.js,39517,2010-05-14T18:45:10Z,2026-03-05T08:26:57Z,JavaScript,1819,334,5416,4817
danielmiessler,Fabric,39509,2024-01-03T23:18:31Z,2026-03-05T23:33:19Z,Go,599,382,836,814
floodsung,Deep-Learning-Papers-Reading-Roadmap,39480,2016-10-14T11:49:48Z,2026-03-05T20:21:11Z,Python,28,0,57,5
lm-sys,FastChat,39424,2023-03-19T00:18:02Z,2026-03-05T12:23:09Z,Python,852,14,1926,1067
photoprism,photoprism,39419,2018-01-27T12:00:15Z,2026-03-05T23:06:51Z,Go,881,80,2487,2054
gofiber,fiber,39338,2020-01-16T03:59:20Z,2026-03-05T23:18:23Z,Go,2113,135,1630,1594
appsmithorg,appsmith,39328,2020-06-30T04:07:36Z,2026-03-05T19:51:03Z,TypeScript,14089,302,23707,19299
facebookresearch,faiss,39273,2017-02-07T16:07:05Z,2026-03-05T20:33:12Z,C++,137,24,2726,2499
bmad-code-org,BMAD-METHOD,39239,2025-04-13T14:54:25Z,2026-03-05T23:36:28Z,JavaScript,374,24,815,738
goabstract,Awesome-Design-Tools,39189,2019-02-12T13:55:30Z,2026-03-05T22:27:15Z,JavaScript,283,0,49,26
phaserjs,phaser,39127,2013-04-12T12:27:51Z,2026-03-05T16:03:56Z,JavaScript,1734,173,4601,4512
Dogfalo,materialize,39126,2014-09-12T19:35:38Z,2026-03-05T14:51:24Z,JavaScript,449,41,5222,4599
google,styleguide,39066,2015-05-20T19:18:59Z,2026-03-05T22:59:01Z,HTML,197,0,363,244
koalaman,shellcheck,39058,2012-11-17T03:15:11Z,2026-03-05T23:12:08Z,Haskell,331,30,2944,1759
suno-ai,bark,39039,2023-04-07T19:34:48Z,2026-03-05T22:34:39Z,Jupyter Notebook,19,0,477,242
imputnet,cobalt,39004,2022-07-08T18:12:55Z,2026-03-05T21:51:55Z,Svelte,249,0,1003,807
QuivrHQ,quivr,38971,2023-05-12T23:53:30Z,2026-03-05T12:30:11Z,Python,1824,354,1538,1534
DataTalksClub,data-engineering-zoomcamp,38879,2021-10-21T09:32:50Z,2026-03-05T22:08:48Z,Jupyter Notebook,454,0,141,139
google,leveldb,38873,2014-08-27T21:17:52Z,2026-03-05T16:29:38Z,C++,64,21,788,540
2noise,ChatTTS,38866,2024-05-27T18:26:49Z,2026-03-05T22:47:48Z,Python,220,6,672,614
chatboxai,chatbox,38785,2023-03-06T12:22:15Z,2026-03-05T23:14:34Z,TypeScript,0,52,2498,1503
mifi,lossless-cut,38774,2016-10-30T10:49:56Z,2026-03-05T23:36:18Z,TypeScript,223,105,1804,1565
remotion-dev,remotion,38661,2020-06-23T19:49:10Z,2026-03-05T23:41:59Z,TypeScript,4193,596,2212,2141
novuhq,novu,38643,2021-08-26T15:22:44Z,2026-03-05T16:10:28Z,TypeScript,6877,108,1668,1544
mindsdb,mindsdb,38636,2018-08-02T17:56:45Z,2026-03-05T23:17:48Z,Python,5779,337,4400,4327
nushell,nushell,38631,2019-05-10T16:59:42Z,2026-03-05T23:40:36Z,Rust,8456,117,7025,5559
freeCodeCamp,devdocs,38581,2013-10-24T18:16:07Z,2026-03-05T20:30:16Z,Ruby,982,0,1263,1065
impress,impress.js,38517,2011-12-28T22:23:19Z,2026-03-05T23:17:59Z,JavaScript,124,15,483,432
agno-agi,agno,38453,2022-05-04T15:23:02Z,2026-03-05T23:21:37Z,Python,2896,172,1970,1696
preactjs,preact,38453,2015-09-11T02:40:18Z,2026-03-05T08:34:48Z,JavaScript,1993,240,1928,1868
google,googletest,38302,2015-07-28T15:07:53Z,2026-03-05T18:13:26Z,C++,813,11,2364,1989
tw93,Mole,38270,2025-09-23T06:38:40Z,2026-03-05T23:36:14Z,Shell,123,27,345,343
gto76,python-cheatsheet,38268,2018-01-25T04:16:53Z,2026-03-05T22:42:56Z,Python,0,0,27,27
PatrickJS,awesome-cursorrules,38265,2024-09-16T15:38:38Z,2026-03-05T22:27:26Z,MDX,70,0,51,8
microsoft,qlib,38234,2020-08-14T06:46:00Z,2026-03-05T23:48:15Z,Python,750,23,1043,762
PhilJay,MPAndroidChart,38227,2014-04-25T14:29:47Z,2026-03-05T22:52:30Z,Java,191,44,4965,2898
lapce,lapce,38107,2018-02-06T08:41:06Z,2026-03-05T22:16:45Z,Rust,1177,35,2011,1200
istio,istio,38073,2016-11-18T23:57:21Z,2026-03-05T21:24:37Z,Go,29470,423,21708,21284
halo-dev,halo,38030,2018-03-21T12:56:52Z,2026-03-05T19:46:00Z,Java,2953,250,4578,4344
Kong,insomnia,38005,2016-04-23T03:54:26Z,2026-03-05T22:15:33Z,TypeScript,3749,547,3977,3252
ant-design,ant-design-pro,37982,2017-08-25T10:40:44Z,2026-03-05T15:34:27Z,TypeScript,1025,26,9800,9625
BerriAI,litellm,37960,2023-07-27T00:09:52Z,2026-03-05T23:41:39Z,Python,9720,1000,9264,8445
naptha,tesseract.js,37895,2015-06-24T02:49:52Z,2026-03-05T22:34:28Z,JavaScript,204,57,734,703
dotnet,aspnetcore,37767,2014-03-11T06:09:42Z,2026-03-05T23:47:55Z,C#,18595,275,38651,35099
denysdovhan,wtfjs,37735,2017-07-14T15:42:12Z,2026-03-05T23:18:03Z,JavaScript,125,25,118,96
rapid7,metasploit-framework,37660,2011-08-30T06:13:20Z,2026-03-05T21:54:22Z,Ruby,11661,0,6427,5952
httpie,cli,37642,2012-02-25T12:39:13Z,2026-03-05T22:26:24Z,Python,406,47,910,723
FreeCodeCampChina,freecodecamp.cn,37639,2016-09-30T03:13:43Z,2026-03-05T04:38:14Z,CSS,55,0,587,445
pola-rs,polars,37627,2020-05-13T19:45:33Z,2026-03-05T23:08:49Z,Rust,12721,248,12429,9913
huihut,interview,37557,2018-02-09T09:49:48Z,2026-03-05T15:55:46Z,C++,36,0,66,65
ToolJet,ToolJet,37549,2021-03-30T08:51:34Z,2026-03-05T22:14:50Z,JavaScript,7737,451,5153,4538
RSSNext,Folo,37507,2024-04-08T03:23:35Z,2026-03-05T23:10:12Z,TypeScript,1432,93,2565,2184
nextlevelbuilder,ui-ux-pro-max-skill,37490,2025-11-30T11:36:31Z,2026-03-05T23:41:40Z,Python,60,14,68,27
vlang,v,37477,2019-02-08T02:57:06Z,2026-03-05T20:45:33Z,V,13076,302,10268,9152
outline,outline,37455,2016-05-22T21:31:47Z,2026-03-05T23:22:18Z,TypeScript,4166,157,3916,3879
LAION-AI,Open-Assistant,37442,2022-12-13T05:24:17Z,2026-03-05T20:35:44Z,Python,1616,127,1646,1419
TeamNewPipe,NewPipe,37421,2015-09-03T23:39:26Z,2026-03-05T17:33:51Z,Java,1795,140,10105,8778
chatchat-space,Langchain-Chatchat,37407,2023-03-31T12:12:45Z,2026-03-05T16:12:05Z,Python,621,31,4237,4230
google-research,google-research,37400,2018-10-04T18:42:48Z,2026-03-05T20:37:24Z,Jupyter Notebook,29,0,1440,348
TencentARC,GFPGAN,37392,2021-03-19T06:18:20Z,2026-03-05T20:01:42Z,Python,14,8,509,135
CorentinTh,it-tools,37369,2020-04-05T11:50:24Z,2026-03-05T19:51:46Z,Vue,493,10,672,218
eugenp,tutorials,37350,2013-04-29T18:26:36Z,2026-03-05T20:14:40Z,Java,13718,0,791,773
NervJS,taro,37331,2018-04-08T09:32:26Z,2026-03-05T08:35:03Z,TypeScript,3465,207,13110,11493
vnpy,vnpy,37274,2015-03-02T03:36:58Z,2026-03-05T23:02:36Z,Python,1063,66,2163,2151
kilimchoi,engineering-blogs,37255,2015-06-13T18:25:17Z,2026-03-05T23:42:55Z,Ruby,681,0,97,75
code-yeongyu,oh-my-opencode,37236,2025-12-03T01:40:05Z,2026-03-05T23:37:36Z,TypeScript,634,147,1185,964
llvm,llvm-project,37232,2016-12-07T09:39:33Z,2026-03-05T23:43:45Z,LLVM,75402,149,92569,64498
spacedriveapp,spacedrive,37227,2021-09-27T05:09:04Z,2026-03-05T23:13:17Z,Rust,1957,28,530,518
exacity,deeplearningbook-chinese,37204,2016-12-07T11:46:51Z,2026-03-05T13:28:15Z,TeX,16,7,203,139
0voice,interview_internal_reference,37193,2019-06-10T06:54:19Z,2026-03-05T09:31:13Z,Python,35,0,52,19
paperless-ngx,paperless-ngx,37145,2022-02-12T21:56:52Z,2026-03-05T23:38:33Z,Python,2997,143,2366,2366
docker,compose,37133,2013-12-09T11:40:58Z,2026-03-05T20:45:32Z,Go,3753,275,8279,8234
alibaba,arthas,37122,2018-08-29T17:15:57Z,2026-03-05T10:09:31Z,Java,582,68,2130,1754
openai,gym,37076,2016-04-27T14:59:16Z,2026-03-05T17:36:43Z,Python,999,19,1840,1727
ManimCommunity,manim,37052,2020-05-19T02:37:13Z,2026-03-05T22:19:43Z,Python,2041,33,1738,1363
huiyadanli,RevokeMsgPatcher,37033,2019-07-21T15:12:52Z,2026-03-05T22:52:37Z,C#,12,21,993,945
satwikkansal,wtfpython,36911,2017-08-28T20:22:19Z,2026-03-05T08:53:12Z,Python,113,2,224,158
AobingJava,JavaFamily,36899,2019-11-12T04:26:18Z,2026-03-05T16:04:33Z,,2,0,66,60
babysor,MockingBird,36876,2021-08-07T03:53:39Z,2026-03-05T17:36:21Z,Python,82,1,892,415
inkonchain,docs,36829,2024-05-07T16:49:36Z,2026-03-05T13:37:18Z,MDX,407,0,37,13
drawdb-io,drawdb,36823,2023-07-16T17:09:20Z,2026-03-05T14:39:11Z,JavaScript,349,0,337,214
exelban,stats,36817,2019-05-29T19:24:56Z,2026-03-05T22:43:32Z,Swift,433,321,2454,2432
PKUanonym,REKCARC-TSC-UHT,36782,2019-04-05T03:31:23Z,2026-03-05T16:03:51Z,HTML,175,0,34,32
inkonchain,node,36780,2024-05-13T23:20:40Z,2026-03-05T13:37:22Z,Shell,36,6,26,13
sqlmapproject,sqlmap,36763,2012-06-26T09:52:15Z,2026-03-05T23:38:46Z,Python,180,11,5394,5354
portainer,portainer,36758,2016-05-19T20:15:28Z,2026-03-05T16:17:39Z,TypeScript,4784,176,6030,5342
inkonchain,ink-kit,36685,2024-11-04T16:32:17Z,2026-03-05T13:37:20Z,TypeScript,91,0,5,3
shadowsocks,shadowsocks-android,36680,2012-12-16T13:40:29Z,2026-03-05T22:52:30Z,Kotlin,258,186,2513,2459
roboflow,supervision,36643,2022-11-28T14:08:44Z,2026-03-05T23:34:53Z,Python,1120,35,517,431
markedjs,marked,36626,2011-07-24T13:15:51Z,2026-03-05T21:31:59Z,TypeScript,1642,166,1652,1643
open-guides,og-aws,36595,2016-07-13T17:30:16Z,2026-03-05T21:16:21Z,Shell,498,0,228,88
alebcay,awesome-shell,36594,2014-07-07T01:57:42Z,2026-03-05T23:40:05Z,,307,0,64,23
gkd-kit,gkd,36557,2023-07-04T03:59:15Z,2026-03-05T18:49:33Z,Kotlin,9,64,736,726
date-fns,date-fns,36499,2014-10-06T10:24:22Z,2026-03-05T12:00:09Z,TypeScript,1068,122,2038,1382
duckdb,duckdb,36458,2018-06-26T15:04:45Z,2026-03-05T23:22:42Z,C++,9604,56,6588,6048
huggingface,pytorch-image-models,36445,2019-02-02T05:51:12Z,2026-03-05T21:30:30Z,Python,523,75,1026,978
karpathy,LLM101n,36415,2024-05-27T00:23:38Z,2026-03-05T13:57:18Z,,0,0,0,0
chatanywhere,GPT_API_free,36404,2023-04-23T12:42:08Z,2026-03-05T22:06:54Z,Python,1,0,419,365
fengdu78,Coursera-ML-AndrewNg-Notes,36398,2017-11-04T10:04:08Z,2026-03-05T12:40:15Z,HTML,14,0,69,15
