owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
google-ai-edge,mediapipe,34109,2019-06-13T19:16:41Z,2026-03-13T17:18:03Z,C++,201,64,5619,5185
TheAlgorithms,JavaScript,34082,2017-07-13T06:12:33Z,2026-03-13T17:36:41Z,JavaScript,798,0,223,203
atlassian,react-beautiful-dnd,34042,2017-08-09T03:37:15Z,2026-03-13T05:27:29Z,JavaScript,531,68,1618,1047
qishibo,AnotherRedisDesktopManager,34030,2019-01-08T06:01:56Z,2026-03-13T16:10:25Z,JavaScript,152,53,1102,937
anoma,anoma,34011,2021-02-02T10:00:16Z,2026-03-13T11:50:34Z,Elixir,897,12,720,630
ehang-io,nps,33946,2018-11-04T13:22:51Z,2026-03-13T15:47:41Z,Go,74,59,1206,698
TheAlgorithms,C-Plus-Plus,33921,2016-07-16T10:19:45Z,2026-03-13T14:12:26Z,C++,705,0,331,323
harness,harness,33889,2014-02-07T07:54:44Z,2026-03-13T17:01:56Z,Go,1054,56,2018,1938
sxyazi,yazi,33886,2023-07-08T11:45:55Z,2026-03-13T17:57:14Z,Rust,1137,30,1706,1659
zxing,zxing,33884,2011-10-12T14:07:27Z,2026-03-13T17:46:34Z,Java,345,32,1340,1336
GorvGoyl,Clone-Wars,33862,2020-12-02T11:10:16Z,2026-03-13T03:28:41Z,,130,0,87,70
CMU-Perceptual-Computing-Lab,openpose,33856,2017-04-24T14:06:31Z,2026-03-13T12:40:48Z,C++,174,15,2007,1667
filebrowser,filebrowser,33838,2015-09-11T21:21:58Z,2026-03-13T17:23:34Z,Go,776,130,2905,2885
halfrost,LeetCode-Go,33821,2017-07-18T00:06:14Z,2026-03-13T08:50:59Z,Go,178,4,82,64
jqlang,jq,33814,2012-07-18T19:57:25Z,2026-03-13T14:16:16Z,C,686,15,2322,1964
Pythagora-io,gpt-pilot,33813,2023-08-16T11:56:07Z,2026-03-13T05:46:27Z,Python,396,0,553,314
alibaba,easyexcel,33761,2018-02-06T03:14:08Z,2026-03-13T12:13:39Z,Java,190,14,3620,3131
lllyasviel,ControlNet,33724,2023-02-01T02:43:30Z,2026-03-13T15:12:30Z,Python,5,0,574,138
Blankj,AndroidUtilCode,33705,2016-07-30T18:18:32Z,2026-03-13T15:50:33Z,Java,88,117,1596,1284
ZuodaoTech,everyone-can-use-english,33699,2019-03-15T16:33:53Z,2026-03-13T17:37:20Z,TypeScript,462,48,470,376
AFNetworking,AFNetworking,33685,2011-05-31T21:28:44Z,2026-03-13T14:26:28Z,Objective-C,710,40,0,0
carbon-language,carbon-lang,33649,2020-04-27T21:45:16Z,2026-03-13T17:44:16Z,C++,5073,611,812,624
microsoft,BitNet,33637,2024-08-05T09:07:38Z,2026-03-13T18:00:46Z,Python,29,0,259,97
shadowsocks,shadowsocks,33632,2012-04-20T13:10:49Z,2026-03-13T00:31:19Z,Python,70,2,0,0
XX-net,XX-Net,33454,2015-01-15T09:35:51Z,2026-03-13T05:07:11Z,Python,363,390,13340,5418
KeygraphHQ,shannon,33437,2025-09-27T01:51:47Z,2026-03-13T17:32:06Z,TypeScript,61,0,81,71
v2fly,v2ray-core,33396,2019-04-15T10:05:54Z,2026-03-13T17:22:29Z,Go,985,122,1080,1057
IceWhaleTech,CasaOS,33391,2021-09-26T02:33:09Z,2026-03-13T15:27:19Z,Go,275,97,1679,898
khoj-ai,khoj,33376,2021-08-16T01:48:44Z,2026-03-13T17:42:06Z,Python,487,170,569,487
lib-pku,libpku,33370,2018-11-22T13:33:06Z,2026-03-13T12:42:33Z,TeX,22,0,43,32
anthropics,prompt-eng-interactive-tutorial,33348,2024-04-02T15:52:00Z,2026-03-13T17:21:57Z,Jupyter Notebook,1,0,36,4
keycloak,keycloak,33330,2013-07-02T13:38:51Z,2026-03-13T16:42:22Z,Java,19356,102,17697,15431
explosion,spaCy,33319,2014-07-03T15:15:40Z,2026-03-13T16:44:57Z,Python,3598,133,5742,5585
balena-io,etcher,33299,2015-10-27T16:53:23Z,2026-03-13T15:41:08Z,TypeScript,1731,289,2464,1850
swc-project,swc,33295,2017-12-22T11:40:14Z,2026-03-13T02:45:04Z,Rust,5914,780,4137,3749
chen08209,FlClash,33289,2023-08-15T07:47:22Z,2026-03-13T17:14:58Z,Dart,2,102,1668,1040
bayandin,awesome-awesomeness,33284,2014-07-08T05:44:19Z,2026-03-13T16:04:16Z,Ruby,197,0,70,52
moeru-ai,airi,33281,2024-12-01T16:33:36Z,2026-03-13T18:02:44Z,TypeScript,648,56,356,296
drizzle-team,drizzle-orm,33278,2021-06-24T09:03:05Z,2026-03-13T16:15:13Z,TypeScript,664,171,3481,2246
utmapp,UTM,33228,2019-04-12T16:09:24Z,2026-03-13T17:34:13Z,Swift,277,128,3588,2610
